"query","ground truth answer","video","time"
"Why women generally appear more frequently in senior centers and assisted living facilities?","On average, women live about five years longer than men, often outliving their husbands by approximately ten years.","Developmental Psychology - Cognitive Later In Life - CH14","00:07:01"
"What is the clinical definition of death?","Clinical death is defined as the total lack of heartbeat and respiration.","Developmental Psychology - Dying and Bereavement - CH 16","00:01:27"
"What is the difference between active and passive euthanasia?","Active euthanasia involves deliberately ending a life to stop suffering from a terminal illness, while passive euthanasia is the decision to withhold or stop life-prolonging treatments.","Developmental Psychology - Dying and Bereavement - CH 16","00:05:18"
"What are the five stages of grief identified by Elizabeth Kübler-Ross?","The five stages are denial, anger, bargaining, depression, and acceptance.","Developmental Psychology - Dying and Bereavement - CH 16","00:14:12"
"What is the \"sandwich generation\" in developmental psychology?","It refers to middle-aged adults who face the dual responsibility of caring for their growing children and their aging parents simultaneously.","Developmental Psychology - Middle Adulthood - Biosychosocial - CH13","00:14:42"
"How do fluid and crystallized intelligence typically change as a person ages?","Fluid intelligence (abstract reasoning) tends to peak in middle age and decline in later years, whereas crystallized intelligence (accumulated knowledge) generally continues to increase throughout life.","Developmental Psychology - Middle Adulthood - Biosychosocial - CH13","00:05:37"
"What is the difference between osteoarthritis and rheumatoid arthritis?","Osteoarthritis is a \"wear and tear\" degenerative joint disease, while rheumatoid arthritis is an incurable autoimmune disease characterized by joint inflammation.","Developmental Psychology - Middle Adulthood - Biosychosocial - CH13","00:02:05"
"What is the most common type of family structure worldwide?","The extended family, consisting of children, parents, grandparents, and other relatives living together, is the most common family structure globally.","Developmental Psychology - Middle Adulthood - CH11","00:18:07"
"What are the primary factors identified for a successful marriage?","Factors include being older at the time of marriage, sharing similar values and interests, and possessing strong mutual abilities to cope with stress.","Developmental Psychology - Middle Adulthood - CH11","00:14:23"
"What does research suggest about children raised by gay or lesbian parents?","Research shows these children are not more likely to become gay or lesbian themselves, though they are often more accepting of diversity in sexual orientation.","Developmental Psychology - Middle Adulthood - CH11","00:27:13"
"What are the five categories rated in the Apgar scoring system?","The Apgar system rates heart rate, respiration, muscle tone, reflexes, and skin tone.","Developmental Psychology - Physical, Perceptual, and Motor Development - CH3","00:01:21"
"What are the four basic states of a newborn?","The four states are alert inactive, waking active, crying, and sleeping.","Developmental Psychology - Physical, Perceptual, and Motor Development - CH3","00:02:45"
"At what age do infants typically begin to show fear of falling during visual cliff research?","Infants begin to show fear of falling around seven months of age.","Developmental Psychology - Physical, Perceptual, and Motor Development - CH3","00:31:49"
"What is the primary event in Erikson's first stage of trust versus mistrust?","Feeding is the primary event in this stage (birth to 18 months).","Developmental Psychology - Socioemotional Development In Infancy  - CH5","00:02:12"
"What major developmental task is associated with Erikson's stage of autonomy versus shame and doubt?","Toilet training is a major task in this stage (18 months to 3 years) as children gain independence.","Developmental Psychology - Socioemotional Development In Infancy  - CH5","00:06:52"
"What are the four common types of attachment relationships identified in research?","The four types are secure, avoidance, disorganized, and ambivalent (or resistant) attachment.","Developmental Psychology - Socioemotional Development In Infancy  - CH5","00:28:28"
"What is the main difference between endocrine and exocrine glands?","Endocrine glands are ductless and secrete hormones into the blood, while exocrine glands have ducts to secrete their products.","Endocrine System - Pituitary Gland THE MASTER GLAND","00:00:49"
"Which two hormones are stored in and released from the posterior pituitary gland?","Oxytocin and anti-diuretic hormone (ADH) are released from the posterior pituitary.","Endocrine System - Pituitary Gland THE MASTER GLAND","00:14:14"
"How many primary hormones are manufactured by the anterior pituitary gland?","The anterior pituitary manufactures six main hormones: TSH, ACTH, LH, FSH, growth hormone, and prolactin.","Endocrine System - Pituitary Gland THE MASTER GLAND","00:27:35"
"Why is vitality testing unreliable immediately following a traumatic dental injury?","Vitality testing is considered unreliable for two to eight weeks after trauma.","Endodontics ｜ PRACTICE QUESTIONS ｜ INBDE, ADAT","00:02:14"
"Which testing method is generally regarded as the most reliable for pulpal diagnosis?","Percussion is generally regarded as the most reliable testing method.","Endodontics ｜ PRACTICE QUESTIONS ｜ INBDE, ADAT","00:02:48"
"What is the recommended treatment for a vertical root fracture in a single-rooted tooth?","The tooth should be extracted as it has a hopeless prognosis.","Endodontics ｜ PRACTICE QUESTIONS ｜ INBDE, ADAT","00:19:12"
"Which nerve fibers are responsible for sharp, transient 'first pain' associated with cold?","A-delta fibers conduct this sharp, transient pain.","Endodontics ｜ Pulp Biology and Tooth Pain ｜ INBDE, ADAT","00:09:18"
"Which nerve fibers conduct dull, throbbing 'second pain' often associated with heat?","C-fibers are responsible for conducting this dull, throbbing pain.","Endodontics ｜ Pulp Biology and Tooth Pain ｜ INBDE, ADAT","00:10:54"
"What is the definition of allodynia in the context of pain sensitization?","Allodynia is a reduced pain threshold where a normally non-painful stimulus (like touch on sunburned skin) causes pain.","Endodontics ｜ Pulp Biology and Tooth Pain ｜ INBDE, ADAT","00:13:23"
"What are the primary functions of simple squamous epithelium in the kidney and lungs?","It is used for filtration in the kidney (glomerulus) and gas exchange/diffusion in the lungs (alveoli).","Epithelial Tissue Practice quiz","00:19:44"
"What happens to transitional epithelium cells when the bladder fills with urine?","The 'balloon' shaped apical cells transition or flatten into flat cells.","Epithelial Tissue Practice quiz","00:20:59"
"What is the function of microvilli found on simple columnar cells?","Microvilli increase the surface area of the cells for better absorption.","Epithelial Tissue Practice quiz","00:22:41"
"What are the four major layers of the deep cervical fascia?","The layers are the investing layer, visceral layer, pre-vertebral fascia, and carotid sheath.","Head & Neck Anatomy ｜ Fascial Space Infections ｜ INBDE","00:02:02"
"What are the four primary contents of the carotid sheath?","It contains the common carotid artery, internal jugular vein, vagus nerve (CN X), and deep cervical lymph nodes.","Head & Neck Anatomy ｜ Fascial Space Infections ｜ INBDE","00:03:18"
"What is Ludwig's angina and which spaces does it involve?","It is an aggressive cellulitis involving bilateral swelling of the sublingual, submandibular, and submental spaces.","Head & Neck Anatomy ｜ Fascial Space Infections ｜ INBDE","00:14:43"
"Which cranial nerve innervates all four muscles of mastication?","The third division of the trigeminal nerve (V3, mandibular nerve) innervates them.","Head & Neck Anatomy ｜ Muscles of Mastication ｜ INBDE","00:00:41"
"What is the primary action of the masseter muscle?","The masseter elevates (closes) the mandible.","Head & Neck Anatomy ｜ Muscles of Mastication ｜ INBDE","00:02:44"
"Which muscle is responsible for initiating jaw opening?","The lateral pterygoid muscle initiates jaw opening by pulling the disc and condyle forward.","Head & Neck Anatomy ｜ Muscles of Mastication ｜ INBDE","00:08:15"
"Which tongue muscle is responsible for protruding the tongue forward?","The genioglossus muscle is responsible for protruding the tongue.","Head & Neck Anatomy ｜ PRACTICE QUESTIONS ｜ INBDE","00:02:54"
"In which salivary gland duct does sialolithiasis (salivary stones) occur 80% of the time?","It occurs most commonly in Wharton's duct, which connects to the submandibular gland.","Head & Neck Anatomy ｜ PRACTICE QUESTIONS ｜ INBDE","00:19:05"
"Which cranial nerves carry taste sensation from the tongue?","The facial nerve (CN VII, chorda tympani) for the anterior 2/3 and the glossopharyngeal nerve (CN IX) for the posterior 1/3.","Head & Neck Anatomy ｜ PRACTICE QUESTIONS ｜ INBDE","00:10:19"
"What is the primary purpose of using sensory details in a descriptive essay?","The purpose is to provide details on how something looks, feels, tastes, smells, or sounds so the reader can picture it in their mind.","How to Write a Descriptive Essay｜Essay Writing and Presentation skills Eng406 Lecture 08","00:02:52"
"What should be the focus of the introduction and conclusion in a descriptive essay?","The introduction should specify your relation to the subject, while the conclusion should focus on personal feelings and the subject's influence on you.","How to Write a Descriptive Essay｜Essay Writing and Presentation skills Eng406 Lecture 08","01:02:18"
"Why is the use of 'colorful adjectives' and 'unusual facts' encouraged in descriptive writing?","They help make the description more specific, innovative, and unique, distinguishing the subject from others.","How to Write a Descriptive Essay｜Essay Writing and Presentation skills Eng406 Lecture 08","00:27:22"
"What are the three types of muscle tissue found in the human body?","The three types are skeletal, cardiac, and smooth muscle tissue.","Human Anatomy Lecture  Ch 10 Skeletal Muscle Tissue","00:03:49"
"What is considered the basic functional unit of contraction in skeletal muscle tissue?","The sarcomere is the basic functional unit of contraction.","Human Anatomy Lecture  Ch 10 Skeletal Muscle Tissue","00:15:52"
"According to the sliding filament mechanism, what happens to the sarcomere during muscle contraction?","The sarcomere shortens as thin and thick filaments slide past each other, although the filaments themselves do not shorten.","Human Anatomy Lecture  Ch 10 Skeletal Muscle Tissue","00:24:23"
"What are the three distinct layers, or tunics, that compose the general structure of a blood vessel?","The three layers are the tunica intima, tunica media, and tunica externa.","Human Anatomy Lecture  Ch 20 Blood Vessels Pt 1","00:01:18"
"What are the primary structural differences between arteries and veins?","Arteries have a thicker tunica media compared to veins, and some veins contain valves to prevent the backflow of blood.","Human Anatomy Lecture  Ch 20 Blood Vessels Pt 1","00:03:43"
"What are the three main types of capillaries based on their structure and permeability?","The three main types are continuous capillaries, fenestrated capillaries, and sinusoids.","Human Anatomy Lecture  Ch 20 Blood Vessels Pt 1","00:10:51"
"What are the two main distinct layers that make up the skin?","The skin is divided into the more superficial epidermis and the deeper dermis.","Human Anatomy Lecture  Ch 5 The Integumentary System","00:00:31"
"In which type of skin is the stratum lucidum layer of the epidermis found?","The stratum lucidum is only found in thick skin, such as on the palms of the hands and the soles of the feet.","Human Anatomy Lecture  Ch 5 The Integumentary System","00:05:05"
"Which type of skin cancer is considered the most dangerous due to its high rate of metastasis?","Melanoma is the most dangerous type of skin cancer because it spreads quickly to other organs.","Human Anatomy Lecture  Ch 5 The Integumentary System","00:31:30"
"How does the heart function as a double pump in the human circulatory system?","The heart acts as a double pump where the first pump sends deoxygenated blood to the lungs, and the second pump sends reoxygenated blood to the rest of the body.","Human Biology： Ch 16.3- Cardiovascular System Part 1","00:04:04"
"What are the four chambers of the human heart and their general functions?","The four chambers are the right and left atria, which receive blood, and the right and left ventricles, which pump blood out of the heart.","Human Biology： Ch 16.3- Cardiovascular System Part 1","00:05:17"
"What are the names of the two atrioventricular valves and on which side of the heart is each located?","The tricuspid valve is on the right side, and the bicuspid (or mitral) valve is on the left side.","Human Biology： Ch 16.3- Cardiovascular System Part 1","00:11:13"
"What are the three main postulates of the unified cell theory proposed in the 1830s?","The theory states that all living things are composed of one or more cells, the cell is the basic unit of life, and all new cells arise from existing cells.","Human Biology lecture：  Ch 3- Cell Structure and Function","00:01:41"
"What are the four common components shared by both prokaryotic and eukaryotic cells?","The four common components are a plasma membrane, cytoplasm, DNA, and ribosomes.","Human Biology lecture：  Ch 3- Cell Structure and Function","00:02:51"
"Why is the mitochondria often referred to as the 'powerhouse' of the cell?","Mitochondria are called the powerhouse because they generate most of the cell's energy in the form of ATP.","Human Biology lecture：  Ch 3- Cell Structure and Function","00:26:19"
"What are the '3Vs' of communication that are central to multimodal machine learning research?","The 3Vs are verbal (words), vocal (how they are said), and visual (gestures and expressions).","Lecture 1.1： Introduction (Multimodal Machine Learning, Carnegie Mellon University)","00:04:06"
"What is the McGurk effect and what does it demonstrate about human perception?","The McGurk effect is a perceptual phenomenon where the visual information from a speaker's lips changes how a listener hears the audio, demonstrating that speech perception is multimodal.","Lecture 1.1： Introduction (Multimodal Machine Learning, Carnegie Mellon University)","00:11:12"
"What are the five core technical challenges in multimodal machine learning identified in the lecture?","The five core challenges are representation, alignment, translation, fusion, and co-learning.","Lecture 1.1： Introduction (Multimodal Machine Learning, Carnegie Mellon University)","00:23:51"
"What is 'grounding' in the context of multimodal machine learning?","Grounding is the task of taking descriptions in language and understanding what they refer to in the physical or visual environment.","Lecture 1.2： Datasets (Multimodal Machine Learning, Carnegie Mellon University)","00:05:31"
"Why did people start looking at Visual Question Answering (VQA) as an alternative to image captioning?","VQA was seen as a way to convert generation tasks, which are hard to evaluate, into classification-based tasks that are more localized and easier to measure.","Lecture 1.2： Datasets (Multimodal Machine Learning, Carnegie Mellon University)","00:04:11"
"What are some of the continuous dimensions used to annotate emotions in effective computing datasets like Recola?","The two main continuous dimensions used are valence (positive to negative) and arousal (active to passive).","Lecture 1.2： Datasets (Multimodal Machine Learning, Carnegie Mellon University)","00:20:00"
"How do coordinated representations differ from joint representations in multimodal learning?","Instead of forcing all modalities into a single joint vector space, coordinated representations maintain separate spaces for each modality but constrain them to be coordinated or correlated.","Lecture 4.2： Coordinated Representations (Multimodal Machine Learning, Carnegie Mellon University)","00:05:58"
"What is the goal of Canonical Correlation Analysis (CCA) in the context of multimodal data?","The goal of CCA is to find linear projections for two different modalities that are as correlated with each other as possible.","Lecture 4.2： Coordinated Representations (Multimodal Machine Learning, Carnegie Mellon University)","00:31:44"
"What is the 'consensus principle' in multi-view clustering?","The consensus principle aims to maximize the consistency of the grouping or representation across multiple different views or modalities of the same data.","Lecture 4.2： Coordinated Representations (Multimodal Machine Learning, Carnegie Mellon University)","00:57:33"
"How does the textbook define microbiology?","Microbiology is defined as the study of living things that are too small to be seen without magnification.","Microbiology - Introduction to Microbiology - Chapter 1 - Part 1.1","00:00:23"
"What does the term 'ubiquitous' mean when referring to microorganisms?","Ubiquitous means that microbes are found everywhere on Earth at the same time.","Microbiology - Introduction to Microbiology - Chapter 1 - Part 1.1","00:06:11"
"What are the seven major types of microbes studied in microbiology?","The major types are bacteria, archaea, protozoa, algae, fungi, helminths (parasitic worms), and viruses.","Microbiology - Introduction to Microbiology - Chapter 1 - Part 1.1","00:08:02"
"According to G.V. Black's classification, what characterizes a Class 2 decay?","Class 2 decay involves the occlusal surface and at least one proximal surface of a posterior tooth (premolar or molar).","Operative Dentistry ｜ Cavity Preparation ｜ INBDE, ADAT","00:01:09"
"What is the 'cavosurface margin' in a cavity preparation?","The cavosurface margin is the junction where the internal cavity preparation meets the original external surface of the tooth.","Operative Dentistry ｜ Cavity Preparation ｜ INBDE, ADAT","00:03:37"
"In the context of cavity preparation, what is the difference between a 'line angle' and a 'point angle'?","A line angle is the junction where two walls of the preparation meet, while a point angle is the junction where three walls come together.","Operative Dentistry ｜ Cavity Preparation ｜ INBDE, ADAT","00:08:09"
"Who originally devised adhesive dentistry in 1955 and what acid did he use?","Michael Buonacor devised it using phosphoric acid.","Operative Dentistry ｜ Composite Resin & Glass Ionomer ｜ INBDE, ADAT","00:00:31"
"What allergic reaction can HEMA (hydroxyethyl methacrylate) cause if it contacts the skin?","It can cause contact dermatitis.","Operative Dentistry ｜ Composite Resin & Glass Ionomer ｜ INBDE, ADAT","00:06:35"
"What is the photo-initiator commonly used in light-cure composite resins?","Camphorquinone is the photo-initiator.","Operative Dentistry ｜ Composite Resin & Glass Ionomer ｜ INBDE, ADAT","00:23:48"
"What effect does carbonate substitution have on the solubility of hydroxyapatite in teeth?","It increases the solubility of the hydroxyapatite.","Operative Dentistry ｜ Dental Caries ｜ INBDE, ADAT","00:03:24"
"What is the critical pH of tooth enamel at which demineralization starts to occur?","The critical pH is 5.5.","Operative Dentistry ｜ Dental Caries ｜ INBDE, ADAT","00:10:23"
"Which specific bacteria is considered the primary cause of enamel caries?","Streptococcus mutans is the primary cause.","Operative Dentistry ｜ Dental Caries ｜ INBDE, ADAT","00:32:31"
"What do the four numbers in a dental cutting instrument's formula represent?","They represent blade width (1/10 mm), cutting edge angle, blade length (mm), and blade angle (percentage of 360 degrees).","Operative Dentistry ｜ Instrumentation ｜ INBDE, ADAT","00:08:20"
"In the four-number formula for a gingival margin trimmer, what does a second number greater than 90 indicate?","It indicates that the instrument is a distal gingival margin trimmer.","Operative Dentistry ｜ Instrumentation ｜ INBDE, ADAT","00:18:22"
"What are the dimensions (length and diameter) of a standard 245 carbide bur?","It is 3 mm long and 0.8 mm in diameter.","Operative Dentistry ｜ Instrumentation ｜ INBDE, ADAT","00:28:45"
"Which ASA classification describes a patient with well-controlled diabetes or mild hypertension?","ASA 2 describes these patients.","Oral Medicine ｜ ASA Classification ｜ INBDE","00:01:44"
"How is a patient with a history of a heart attack or stroke more than three months ago classified in the ASA system?","They are classified as ASA 3.","Oral Medicine ｜ ASA Classification ｜ INBDE","00:02:48"
"What ASA classification is given to a patient with an incapacitating systemic disease that is a constant threat to life?","They are classified as ASA 4.","Oral Medicine ｜ ASA Classification ｜ INBDE","00:04:21"
"What are the two main clinical manifestations of COPD and how are they nicknamed?","The two manifestations are chronic bronchitis ('blue bloaters') and emphysema ('pink puffers').","Oral Medicine ｜ COPD & Asthma ｜ INBDE","00:01:12"
"What is the first-line medication for treating an acute asthma attack in a dental setting?","A short-acting beta-adrenergic agonist bronchodilator, such as albuterol, is the first-line treatment.","Oral Medicine ｜ COPD & Asthma ｜ INBDE","00:17:07"
"Why should nitrous oxide be avoided in patients with severe COPD?","Because it can accumulate in compromised lung air spaces and may suppress the patient's respiratory drive.","Oral Medicine ｜ COPD & Asthma ｜ INBDE","00:09:44"
"What is the primary difference between Type 1 and Type 2 diabetes mellitus?","Type 1 is an insulin deficiency due to beta-cell destruction, while Type 2 is characterized by insulin resistance in target cells.","Oral Medicine ｜ Diabetes ｜ INBDE","00:03:42"
"What does an HbA1c test measure and what is the target percentage for a well-controlled diabetic?","It measures the percentage of sugar-coated hemoglobin over the last 3 months, and the target is ideally less than 7%.","Oral Medicine ｜ Diabetes ｜ INBDE","00:07:40"
"What are the common signs of hypoglycemia and how should it be managed if the patient is conscious?","Signs include being cold, clammy, and sweaty ('cold and clammy needs some candy'); it should be managed by giving the patient a quick sugar source like orange juice or glucose tabs.","Oral Medicine ｜ Diabetes ｜ INBDE","00:19:31"
"What are the four phases of hemostasis and which phases represent primary and secondary hemostasis?","The phases are vascular, platelet (primary), coagulation (secondary), and fibrinolytic.","Oral Medicine ｜ INR & Bleeding ｜ INBDE","00:01:37"
"Which clotting factor is deficient in Hemophilia A and Hemophilia B?","Factor VIII is deficient in Hemophilia A, and Factor IX is deficient in Hemophilia B.","Oral Medicine ｜ INR & Bleeding ｜ INBDE","00:19:34"
"At what INR level should elective dental treatment generally be deferred for a patient on Warfarin?","Elective treatment should be deferred if the INR is greater than 3.5.","Oral Medicine ｜ INR & Bleeding ｜ INBDE","00:28:46"
"What suffix is used to identify a malignant tumor of connective tissue origin?","The suffix used is -sarcoma.","Oral Pathology ｜ Connective Tissue Malignant Tumors ｜ INBDE, ADAT","00:00:29"
"What virus causes Kaposi’s sarcoma and which type of cells proliferate in this condition?","It is caused by Human Herpesvirus 8 (HHV-8) and involves the malignant proliferation of endothelial cells.","Oral Pathology ｜ Connective Tissue Malignant Tumors ｜ INBDE, ADAT","00:01:45"
"Which specific type of muscle cells are involved in rhabdomyosarcoma?","It is a malignancy of skeletal muscle cells.","Oral Pathology ｜ Connective Tissue Malignant Tumors ｜ INBDE, ADAT","00:02:46"
"What are the minimum distance requirements for placing an implant relative to adjacent teeth and other implants?","An implant should be at least 1.5 mm from adjacent teeth and 3 mm from other implants.","Oral Surgery ｜ Implants ｜ INBDE, ADAT","00:26:59"
"Which type of bone provides the best primary stability for dental implants and where is it most commonly found?","Type 1 bone provides the best stability and is most commonly found in the anterior mandible.","Oral Surgery ｜ Implants ｜ INBDE, ADAT","00:25:08"
"At what temperature and duration is osteointegration compromised during implant surgery?","It is compromised at 47 degrees Celsius for one minute or 40 degrees Celsius for seven minutes.","Oral Surgery ｜ Implants ｜ INBDE, ADAT","00:40:05"
"What are the three fundamental steps in the protocol for a routine simple tooth extraction?","The steps are severing soft tissue attachment, luxating the tooth with an elevator, and delivering the tooth with forceps.","Oral Surgery ｜ Simple Extraction ｜ INBDE, ADAT","00:05:17"
"For which types of teeth is a rotary motion appropriate during extraction with forceps?","Rotary motion is used for teeth with conical roots, such as upper centrals and lower premolars.","Oral Surgery ｜ Simple Extraction ｜ INBDE, ADAT","00:11:26"
"What does the CSI acronym stand for in the context of post-extraction socket management?","It stands for Curettage, Smooth bone, and Irrigate.","Oral Surgery ｜ Simple Extraction ｜ INBDE, ADAT","00:19:45"
